Gene_Hit	SimPheny_Gene_Score	Num_Reference_Matches	Best_SimPheny_Score	Best_Reference_Source	Best_Reference_ID	Sources	Candidate_Rank
RPL13	5.8246146654399995	3	6.358162337611609	udn	UDN_REF_398FCA96AC	udn	1
RYR1	1.8369399519476426	2	2.1093527578652744	udn	UDN_REF_2734628DCA	udn	2
