ID	HPO_Terms	Diagnostic_Genes
Familial short QT syndrome	HP:0012232; HP:0001662; HP:0001962; HP:0005110; HP:0001279; HP:0001645; HP:0001663; HP:0001678; HP:0004308	SLC4A3; KCNJ2; KCNH2; KCNQ1; CACNA2D1
Alpha-heavy chain disease	HP:0002024; HP:0002244; HP:0002961; HP:0001903; HP:0002027; HP:0002721; HP:0002901; HP:0001510; HP:0001541; HP:0001596; HP:0001744; HP:0001945; HP:0002240; HP:0002665; HP:0002716	NONE
Monosomy 13q34	HP:0001256; HP:0001263; HP:0001510; HP:0001513; HP:0001999; HP:0000252; HP:0000316; HP:0000337; HP:0000426; HP:0000448; HP:0000455; HP:0000494; HP:0003256; HP:0000286; HP:0000347; HP:0000358; HP:0000363; HP:0000421; HP:0000855; HP:0001397; HP:0001642; HP:0001763; HP:0002573; HP:0003645; HP:0008151; HP:0010945; HP:0011228; HP:0011565; HP:0100608; HP:0001162; HP:0001274; HP:0001830; HP:0008250; HP:0032152; HP:0040188	NONE
COG7-CDG	HP:0001167; HP:0012301; HP:0002910; HP:0001954; HP:0008897; HP:0001181; HP:0000253; HP:0000952; HP:0002240; HP:0002719; HP:0001999; HP:0001265; HP:0001250; HP:0000470; HP:0001272; HP:0000160; HP:0000347; HP:0000077; HP:0001627; HP:0012444; HP:0007392; HP:0012157; HP:0011968; HP:0001433; HP:0001284; HP:0001508; HP:0002014; HP:0000278; HP:0003236; HP:0001252; HP:0100807	COG7
"Microcephalic primordial dwarfism, Dauber type"	HP:0000252; HP:0000448; HP:0000601; HP:0000786; HP:0001191; HP:0001250; HP:0001263; HP:0001385; HP:0001513; HP:0001607; HP:0002750; HP:0003067; HP:0004209; HP:0004220; HP:0004322; HP:0004626; HP:0008551; HP:0008846; HP:0008850; HP:0009826; HP:0010864; HP:0012814	NIN
Alexander disease type II	HP:0010873; HP:0011441; HP:0000639; HP:0001251; HP:0001257; HP:0001260; HP:0001347; HP:0001618; HP:0002015; HP:0002313; HP:0002518; HP:0002839; HP:0003487; HP:0003690; HP:0007109; HP:0010530; HP:0012332; HP:0002063; HP:0002360; HP:0002650	GFAP
Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency	HP:0001875; HP:0002718; HP:0002721; HP:0005366; HP:0007499	IRAK4
Juvenile xanthogranuloma	HP:0000498; HP:0000501; HP:0000520; HP:0000554; HP:0000572; HP:0001101; HP:0002086; HP:0005547; HP:0007565; HP:0011830; HP:0011886; HP:0200064	NONE
Miller-Dieker syndrome	HP:0000286; HP:0001626; HP:0000177; HP:0003196; HP:0002120; HP:0001539; HP:0002353; HP:0001251; HP:0000112; HP:0004209; HP:0000960; HP:0001250; HP:0000463; HP:0000348; HP:0001510; HP:0002079; HP:0001339	HIC1; YWHAE; PAFAH1B1
Ascher syndrome	HP:0000177; HP:0000218; HP:0000316; HP:0000445; HP:0000492; HP:0000505; HP:0000508; HP:0000581; HP:0000821; HP:0000853; HP:0004097; HP:0012724	NONE
