ID	HPO_Terms	Diagnostic_Genes
PMID_37951597_Family_16_Subject_1	HP:0002069; HP:0001263; HP:0001344; HP:0031936; HP:0000729; HP:0100716; HP:0025161; HP:0000280; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0000020; HP:0001251; HP:0000582; HP:0002650; HP:0001337; HP:0001332; HP:0002061; HP:0006986; HP:0001300; HP:0002172; HP:0011003; HP:0002079	ACBD6
PMID_37951597_Family_25_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0001250	ACBD6
PMID_37951597_Family_22_Subject_1	HP:0001263; HP:0000729	ACBD6
PMID_37951597_Family_10_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000219; HP:0000020; HP:0001251; HP:0000582; HP:0000490; HP:0001337; HP:0025403; HP:0001332; HP:0002061; HP:0002172; HP:0002119; HP:0007068	ACBD6
PMID_37951597_Family_5_Subject_1	HP:0002069; HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0000718; HP:0100716; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0001251; HP:0000582; HP:0001337; HP:0025403; HP:0002061; HP:0002172; HP:0007068	ACBD6
PMID_37951597_Family_28_Subject_1	HP:0001263; HP:0000750; HP:0000729; HP:0000718; HP:0025161; HP:0000280; HP:0005280; HP:0000445; HP:0000232; HP:0001251; HP:0000582; HP:0000490; HP:0025403; HP:0002061; HP:0006986; HP:0001300; HP:0002172; HP:0001876; HP:0001513; HP:0000819; HP:0000083; HP:0001394; HP:0012444; HP:0002684	ACBD6
PMID_37951597_Family_26_Subject_1	HP:0001263; HP:0001251; HP:0002061; HP:0006986; HP:0001513	ACBD6
PMID_37951597_Family_7_Subject_1	HP:0001263; HP:0000750; HP:0000718; HP:0025161; HP:0002360; HP:0000280; HP:0000219; HP:0001251; HP:0001257; HP:0002808	ACBD6
PMID_37951597_Family_3_Subject_2	HP:0001263; HP:0000750; HP:0031936; HP:0000280; HP:0000232; HP:0000219; HP:0100033; HP:0000303; HP:0000490; HP:0001337; HP:0025403; HP:0002061; HP:0011003; HP:0001252; HP:0000047; HP:0000286; HP:0000322; HP:0000028; HP:0000506	ACBD6
PMID_37951597_Family_17_Subject_2	HP:0001263; HP:0000750; HP:0031936; HP:0000280; HP:0025331; HP:0000219; HP:0001251; HP:0002650; HP:0001337; HP:0025403; HP:0002061; HP:0200055; HP:0001274	ACBD6
