Gene_Hit	SimPheny_Gene_Score	Num_Reference_Matches	Best_SimPheny_Score	Best_Reference_Source	Best_Reference_ID	Sources	Candidate_Rank
RPL13	5.879053671326335	3	6.090576324486135	udn	UDN_REF_398FCA96AC	udn	1
RYR1	1.779963967162847	2	2.057221297771517	udn	UDN_REF_2734628DCA	udn	2
