ID	HPO_Terms	Diagnostic_Genes
SCV001762044	HP:0001258	MT-ATP6
SCV004009684	HP:0007018; HP:0002376; HP:0002119; HP:0002076; HP:0001332; HP:0001276; HP:0001250	MT-ND1
SCV002505591	HP:0002151; HP:0002120; HP:0000648; HP:0011968; HP:0002376; HP:0001250; HP:0001252; HP:0002061; HP:0012128	MT-ND1
SCV005044080	HP:0003026; HP:0000047	F8
SCV001905640	HP:0001251	SPTBN2
SCV004242442	HP:0002376; HP:0004322; HP:0001251; HP:0007359; HP:0100660; HP:0002342; HP:0002357; HP:0002490; HP:0000505; HP:0007367	MT-TW
SCV001745835	HP:0002900; HP:0002917; HP:0012608	MT-TI
SCV000742375	HP:0000252; HP:0001250; HP:0001263; HP:0000750; HP:0001508; HP:0000729; HP:0002027; HP:0002013; HP:0000978; HP:0000582; HP:0000506; HP:0000574; HP:0003508	KDM5C
SCV002506679	HP:0001250; HP:0001252; HP:0000483	SIX3
SCV002577725	HP:0001273; HP:0000252; HP:0002126; HP:0001999; HP:0001263	TUBA1A
SCV000741808	HP:0001347; HP:0001321; HP:0002119; HP:0001252; HP:0001257; HP:0000280; HP:0012758; HP:0001272; HP:0000496; HP:0001276	TUBA1A
SCV000804344	HP:0001249; HP:0000256; HP:0001548; HP:0000842; HP:0000098; HP:0001513; HP:0001249; HP:0000256; HP:0001548; HP:0000842; HP:0000098; HP:0001513	PMS2
SCV002525616	HP:0011276	TEK
SCV005044184	HP:0010878	MT-ND1
SCV000742068	HP:0001263; HP:0001344; HP:0001250; HP:0008625; HP:0001252; HP:0011968; HP:0002835; HP:0009921; HP:0000483; HP:0004719; HP:0005280; HP:0000822; HP:0002360; HP:0002098; HP:0006528; HP:0000316; HP:0000463; HP:0000687; HP:0000422; HP:0000957	PRPS1
SCV001448067	HP:0001263	PDHA1
SCV005329372	HP:0000077	OCRL
SCV000741400	HP:0001955; HP:0000964; HP:0001974	TNFRSF1A
SCV001244963	HP:0002093; HP:0001276; HP:0003128	HSD17B10
