ID	HPO_Terms	Diagnostic_Genes
UDN292069	HP:0002194; HP:0002515; HP:0012450; HP:0032152; HP:0010862; HP:0001649; HP:0001763; HP:0001845; HP:0001028; HP:0001212; HP:0100807; HP:0002938; HP:0003199; HP:0003234; HP:0003691; HP:0003701; HP:0004322; HP:0004325; HP:0004482; HP:0006380; HP:0001290; HP:0001510; HP:0001531	MAP2K1
UDN172962	HP:0000252; HP:0000272; HP:0000297; HP:0000322; HP:0000347; HP:0000408; HP:0000463; HP:0000529; HP:0000540; HP:0003159; HP:0004463; HP:0005476; HP:0001653; HP:0001763; HP:0001290; HP:0002761; HP:0012450; HP:0012745; HP:0040049; HP:0000577; HP:0000580; HP:0000609; HP:0000678; HP:0000954; HP:0000960; HP:0000977; HP:0007015; HP:0007675; HP:0008028; HP:0009088; HP:0010485; HP:0010544; HP:0010571	PEX1
UDN705317	HP:0002591; HP:0002870; HP:0001639; HP:0001642; HP:0001662; HP:0001741; HP:0001763; HP:0001903; HP:0002020; HP:0002076; HP:0002099; HP:0003154; HP:0003155; HP:0003265; HP:0004324; HP:0005616; HP:0012030; HP:0000718; HP:0000842; HP:0000855; HP:0000956; HP:0001263; HP:0001513; HP:0001548; HP:0000098; HP:0000103; HP:0000256; HP:0007018; HP:0007874; HP:0010609	GNAS
UDN147107	HP:0001263; HP:0001510; HP:0001762; HP:0001776; HP:0002186; HP:0002677; HP:0002679; HP:0002693; HP:0007082; HP:0007911; HP:0007971; HP:0008445; HP:0008619; HP:0009118; HP:0009843; HP:0009882; HP:0011098; HP:0011220; HP:0011379; HP:0011383; HP:0000327; HP:0000375; HP:0004322; HP:0004458; HP:0004482; HP:0000592; HP:0000824; HP:0001043	COG4
UDN633333	HP:0002204; HP:0002273; HP:0002540; HP:0002650; HP:0002747; HP:0025230; HP:0002091; HP:0007133; HP:0009830; HP:0010547; HP:0001270; HP:0001324	MFN2
UDN878249	HP:0000253; HP:0000486; HP:0001252; HP:0001263; HP:0001531; HP:0000729; HP:0000736; HP:0001249; HP:0003763; HP:0002070; HP:0002078; HP:0002835	STXBP1
UDN672526	HP:0007886; HP:0033725; HP:0100704; HP:0002944; HP:0000252; HP:0001250; HP:0001252; HP:0001344; HP:0000615; HP:0001249	WWOX
UDN991388	HP:0001324; HP:0002861; HP:0003198; HP:0003365; HP:0003560; HP:0003805; HP:0002015; HP:0033710	VCP
UDN955025	HP:0001250; HP:0001252; HP:0001263; HP:0001508; HP:0006919; HP:0007018; HP:0010529; HP:0004322; HP:0000252; HP:0002384; HP:0002616; HP:0002808; HP:0000717; HP:0000729; HP:0002020; HP:0002099; HP:0012444	NSD2
UDN670834	HP:0000218; HP:0000252; HP:0000286; HP:0000316; HP:0000322; HP:0000378; HP:0000403; HP:0000431; HP:0000455; HP:0000483; HP:0000486; HP:0002948; HP:0004322; HP:0005107; HP:0000565; HP:0000582; HP:0000733; HP:0000902; HP:0001263; HP:0001290; HP:0001344; HP:0001508; HP:0001566; HP:0011800; HP:0012471; HP:0025325; HP:0030746; HP:0002307; HP:0002540; HP:0002553; HP:0002557; HP:0002575; HP:0002673; HP:0002020; HP:0100716; HP:0009890; HP:0010804; HP:0011003	TCF4
UDN759063	HP:0001290; HP:0001347; HP:0000717; HP:0000733; HP:0000752; HP:0007010; HP:0007328; HP:0010529; HP:0010818; HP:0010845; HP:0200134; HP:0025502; HP:0004324; HP:0004370; HP:0002019; HP:0002020; HP:0002069; HP:0002123; HP:0002141; HP:0002197; HP:0002311; HP:0002342; HP:0002376; HP:0002463	PPP3CA
UDN132664	HP:0000565; HP:0000587; HP:0000684; HP:0001829; HP:0002015; HP:0002020; HP:0002118; HP:0002119; HP:0002363; HP:0002365; HP:0002500; HP:0002566; HP:0002650; HP:0100659; HP:0012703; HP:0012766; HP:0007074; HP:0007103; HP:0011220; HP:0001273; HP:0001290; HP:0001317; HP:0001320; HP:0001342; HP:0000164; HP:0000324; HP:0000347; HP:0000365; HP:0000490; HP:0004322	SPEN
